form	lemma	POS	morph
༄༅། །		PUNCT
འཕགས་མཆོག་	འཕགས་མཆོག་	OTHER
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ཀྱི་	གི་	PART
བསྒོམ་	བསྒོམ་	VERB
བཟླས་	བཟླས་	NO_POS
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཁའ་ཁྱབ་	མཁའ་ཁྱབ་	NOUN
མ་	མ་	PART
འི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཉུང་	ཉུང་	VERB
བསྡུ་	བསྡུ་	VERB
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
ཆར་རྒྱུན་	ཆར་རྒྱུན་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།། །།		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
ཀརྨ་པ་	ཀརྨ་པ་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
བཅོ་ལྔ་པ་	བཅོ་ལྔ་པ་	NO_POS
"།
༄༅། །"		PUNCT
འཕགས་མཆོག་	འཕགས་མཆོག་	OTHER
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ཀྱི་	གི་	PART
བསྒོམ་	བསྒོམ་	VERB
བཟླས་	བཟླས་	NO_POS
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཁའ་ཁྱབ་	མཁའ་ཁྱབ་	NOUN
མ་	མ་	PART
འི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཉུང་	ཉུང་	VERB
བསྡུ་	བསྡུ་	VERB
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
ཆར་རྒྱུན་	ཆར་རྒྱུན་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"།། །།
༄༅༅། །"		PUNCT
སྭསྟི་		NON_WORD
།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཆེ་	ཆེ་	VERB
། །		PUNCT
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ར་	ལ་	PART
ཤར་བ་	ཤར་བ་	VERB
འི་	གི་	PART
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་སྤྲུག་	དོང་སྤྲུག་	NO_POS
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཅན་	ཅན་	PART
། །		PUNCT
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
མགོན་	མགོན་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
དང་	དང་	NO_POS
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
།		PUNCT
ཇི་སྲིད་	ཇི་སྲིད་	PRON
འཁོར་བ་	འཁོར་བ་	NOUN
མ་	མ་	PART
སྟོངས་	སྟོངས་	VERB
ཀྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
ཏིང་འཛིན་	ཏིང་འཛིན་	NOUN
ལ་	ལ་	PART
མི་	མི་	PART
གཞོལ་བ་	གཞོལ་བ་	VERB
ར་	ལ་	PART
དུས་གསུམ་	དུས་གསུམ་	OTHER
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
རྟག་པ་	རྟག་པ་	VERB
ར་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
དྲུག་	དྲུག་	NUM
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཅན་	ཅན་	PART
།		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
གཉེན་	གཉེན་	NOUN
གྱི་	གི་	PART
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་	གནང་	NO_POS
བ་	བ་	ADP
མངའ་	མངའ་	VERB
གསོལ་བ་	གསོལ་བ་	VERB
བཞིན་	བཞིན་	NOUN
གདོང་	གདོང་	NOUN
དམར་	དམར་	VERB
ཅན་	ཅན་	PART
གྱི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
།		PUNCT
ཆེ་	ཆེ་	VERB
གདུལ་	གདུལ་	NO_POS
དཀའ་བ་	དཀའ་བ་	VERB
འི་	གི་	PART
ལྗོངས་	ལྗོངས་	NOUN
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
གདུལ་ཞིང་	གདུལ་ཞིང་	OTHER
དུ་	ལ་	PART
བདག་	བདག་	PRON
གིར་		NON_WORD
མཛད་	མཛད་	VERB
ན་	ནས་	PART
།		PUNCT
རྒྱལ་བློན་	རྒྱལ་བློན་	NOUN
།		PUNCT
ལོ་པཎ་	ལོ་པཎ་	NOUN
།		PUNCT
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
།		PUNCT
ཁྱེའུ་	ཁྱེའུ་	NOUN
ཕོ་མོ་	ཕོ་མོ་	NOUN
སོགས་	སོགས་	DET
སྣ་ཚོགས་པ་	སྣ་ཚོགས་པ་	DET
འི་	གི་	PART
གཟུགས་	གཟུགས་	NOUN
ཀྱིས་	གིས་	PART
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
མཛད་	མཛད་	VERB
ཅིང་	ཅིང་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབས་པ་	བརླབས་པ་	VERB
འི་	གི་	PART
མཐུ་	མཐུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱིས་པ་	བྱིས་པ་	NOUN
སྨྲ་	སྨྲ་	VERB
ཤེ་	ཤེ་	VERB
ཚུན་	ཚུན་	ADV
གྱིས་	གིས་	PART
གསང་སྔགས་	གསང་སྔགས་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཡི་གེ་	ཡི་གེ་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
མ་	མ་	PART
བསླབ་	བསླབ་	VERB
རང་	རང་	PRON
རྡོལ་	རྡོལ་	NO_POS
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ས་	གིས་	PART
མཚོན་	མཚོན་	NOUN
།		PUNCT
ཁ་བ་	ཁ་བ་	NOUN
ཅན་	ཅན་	PART
གྱི་	གི་	PART
ལྗོངས་	ལྗོངས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
ལྷ་	ལྷ་	NOUN
སྐལ་	སྐལ་	NOUN
ཇོ་བོ་	ཇོ་བོ་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལ་	ལ་	ADP
ས་	གིས་	PART
གཞན་	གཞན་	DET
དུ་མ་	དུ་མ་	ADJ
དམིགས་པ་	དམིགས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
སྔོན་བྱོན་	སྔོན་བྱོན་	NOUN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
སྐྱེས་མཆོག་	སྐྱེས་མཆོག་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
སྒྲུབ་	སྒྲུབ་	VERB
སྐོར་	སྐོར་	NOUN
རྒྱ་	རྒྱ་	VERB
བསྡུ་	བསྡུ་	VERB
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
མཛད་པ་	མཛད་པ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
དངོ་	དངོ་	NOUN
མི་	མི་	PART
འི་	གི་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
།		PUNCT
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཐང་སྟོང་	ཐང་སྟོང་	PROPN
